,CLASS,PACKAGE,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
86,FileLocatorUtils,org.apache.commons.configuration2.io,66,1,3,0,70,94.28571428571428,17,504,5,69,4,112,6,56,1,24,96.55172413793103,93.24324324324324,62
87,FileSystem,org.apache.commons.configuration2.io,3,0,0,0,3,100.0,4,22,0,2,2,7,1,6,1,5,77.77777777777779,100.0,7
88,FileSystemLocationStrategy,org.apache.commons.configuration2.io,1,0,0,0,1,100.0,0,10,0,0,0,3,0,2,0,2,100.0,,2
89,FileUtils,org.apache.commons.configuration2.io,14,0,5,1,20,75.0,40,110,8,14,3,24,7,8,1,3,88.88888888888889,63.63636363636363,15
90,FindNodeVisitor,org.apache.commons.configuration2,3,0,0,0,3,100.0,0,25,0,2,0,10,0,6,0,5,100.0,100.0,6
91,HierarchicalBuilderParametersImpl,org.apache.commons.configuration2.builder,4,0,0,0,4,100.0,0,22,0,0,0,6,0,3,0,3,100.0,,3
92,HierarchicalConfigurationConverter,org.apache.commons.configuration2,17,0,2,0,19,89.47368421052632,1,180,2,16,1,45,2,13,0,6,97.82608695652173,88.88888888888889,15
93,HierarchicalConfigurationXMLReader,org.apache.commons.configuration2,15,0,0,0,15,100.0,6,120,3,7,0,33,3,14,0,12,100.0,70.0,17
94,HomeDirectoryLocationStrategy,org.apache.commons.configuration2.io,12,0,0,0,12,100.0,0,69,0,10,0,24,0,13,0,8,100.0,100.0,13
95,INIBuilderParametersImpl,org.apache.commons.configuration2.builder,1,2,1,0,4,25.0,13,9,0,0,3,3,1,2,1,2,50.0,,3
96,INIConfiguration,org.apache.commons.configuration2,127,0,20,1,148,86.4864864864865,36,893,7,133,5,232,8,98,1,35,97.8902953586498,95.0,106
97,ImmutableConfigurationInvocationHandler,org.apache.commons.configuration2,7,0,0,0,7,100.0,0,54,0,4,0,17,0,9,0,7,100.0,100.0,9
98,ImmutableNode,org.apache.commons.configuration2.tree,64,0,3,0,67,95.52238805970148,0,495,0,50,0,127,0,61,0,36,100.0,100.0,61
99,InMemoryNodeModel,org.apache.commons.configuration2.tree,140,0,4,6,150,97.33333333333334,2,1454,7,117,0,353,7,126,0,71,100.0,94.35483870967742,133
100,InterpolatorSpecification,org.apache.commons.configuration2.interpol,20,0,0,0,20,100.0,0,163,0,12,0,51,0,21,0,15,100.0,100.0,21
101,JNDIConfiguration,org.apache.commons.configuration2,45,2,6,0,53,84.90566037735849,34,376,11,35,7,106,12,30,3,16,93.80530973451327,76.08695652173914,42
102,JSONConfiguration,org.apache.commons.configuration2,2,3,0,0,5,40.0,19,61,0,0,8,14,1,4,1,4,63.63636363636363,,5
103,JndiBuilderParametersImpl,org.apache.commons.configuration2.builder,4,0,0,0,4,100.0,0,15,0,0,0,5,0,3,0,3,100.0,,3
104,LegacyListDelimiterHandler,org.apache.commons.configuration2.convert,34,2,3,0,39,87.1794871794872,4,241,5,33,2,66,6,22,1,8,97.05882352941177,86.8421052631579,28
105,ListDelimiterHandler,org.apache.commons.configuration2.convert,1,0,0,0,1,100.0,0,10,0,0,0,3,0,3,0,3,100.0,,3
106,ManagedReloadingDetector,org.apache.commons.configuration2.reloading,1,0,0,0,1,100.0,0,22,0,0,0,8,0,4,0,4,100.0,,4
107,MapConfiguration,org.apache.commons.configuration2,17,1,0,0,18,94.44444444444444,27,141,0,10,3,38,1,19,1,14,92.6829268292683,100.0,20
108,MergeCombiner,org.apache.commons.configuration2.tree,15,0,1,0,16,93.75,0,218,1,27,0,47,1,18,0,5,100.0,96.42857142857143,19
109,ModelTransaction,org.apache.commons.configuration2.tree,90,0,3,1,94,96.80851063829788,4,945,3,67,0,231,3,96,0,64,100.0,95.71428571428572,99
110,MultiFileBuilderParametersImpl,org.apache.commons.configuration2.builder.combined,10,0,0,0,10,100.0,0,72,0,4,0,23,0,12,0,10,100.0,100.0,12
111,MultiFileConfigurationBuilder,org.apache.commons.configuration2.builder.combined,42,0,1,1,44,97.72727272727272,9,429,2,30,1,109,2,37,0,23,99.0909090909091,93.75,39
112,MultiFileConfigurationBuilderProvider,org.apache.commons.configuration2.builder.combined,9,0,1,0,10,90.0,1,98,1,3,0,27,1,11,0,10,100.0,75.0,12
113,MultiWrapDynaBean,org.apache.commons.configuration2.builder.combined,13,0,0,0,13,100.0,0,152,0,10,0,33,0,17,0,12,100.0,100.0,17
114,MultiWrapDynaClass,org.apache.commons.configuration2.builder.combined,3,1,0,0,4,75.0,6,76,0,4,1,16,1,8,1,6,94.11764705882352,100.0,9
115,NodeAddData,org.apache.commons.configuration2.tree,7,0,0,0,7,100.0,0,38,0,2,0,13,0,7,0,6,100.0,100.0,7
116,NodeCombiner,org.apache.commons.configuration2.tree,2,2,0,0,4,50.0,4,34,0,0,2,11,2,7,2,7,84.61538461538461,,9
117,NodeHandlerDecorator,org.apache.commons.configuration2.tree,15,0,0,0,15,100.0,0,86,0,0,0,16,0,16,0,16,100.0,,16
118,NodeNameMatchers,org.apache.commons.configuration2.tree,2,0,0,0,2,100.0,9,53,0,0,0,8,2,6,2,6,100.0,,8
119,NodeSelector,org.apache.commons.configuration2.tree,13,0,2,0,15,86.66666666666669,0,153,0,14,0,36,0,15,0,8,100.0,100.0,15
120,NodeTracker,org.apache.commons.configuration2.tree,42,1,1,0,44,95.45454545454544,8,439,2,34,1,97,2,41,0,25,98.9795918367347,94.44444444444444,43
121,NodeTreeWalker,org.apache.commons.configuration2.tree,16,0,0,0,16,100.0,0,123,0,22,0,33,0,18,0,7,100.0,100.0,18
122,NodeUpdateData,org.apache.commons.configuration2.tree,9,1,0,0,10,90.0,3,47,0,4,1,15,1,8,1,6,93.75,100.0,9
123,OverrideCombiner,org.apache.commons.configuration2.tree,12,0,0,0,12,100.0,0,147,1,19,0,29,1,13,0,4,100.0,95.0,14
