,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
191,ReferenceMap,org.apache.commons.collections4.map,0,0,4,0,0,4,0.0,24,28,0,0,6,10,3,4,3,4,62.5,,7
192,ReplacementsFinder,org.apache.commons.collections4.sequence,0,0,6,0,0,6,0.0,65,0,4,0,17,0,6,0,4,0,0.0,0.0,6
193,ReverseComparator,org.apache.commons.collections4.comparators,8,0,1,2,0,11,72.72727272727273,8,46,2,6,3,12,3,6,1,4,80.0,75.0,9
194,ReverseListIterator,org.apache.commons.collections4.iterators,13,0,0,0,0,13,100.0,10,100,2,6,2,31,2,13,0,11,93.93939393939394,75.0,15
195,SequencesComparator,org.apache.commons.collections4.sequence,141,0,0,8,0,149,94.6308724832215,5,579,3,79,1,87,3,48,0,10,98.86363636363636,96.34146341463415,51
196,SetUniqueList,org.apache.commons.collections4.list,43,0,1,1,0,45,95.55555555555556,34,368,2,28,5,95,3,41,1,28,95.0,93.33333333333333,44
197,SetUtils,org.apache.commons.collections4,60,0,19,0,0,79,75.9493670886076,78,361,10,48,18,64,21,58,15,35,78.04878048780488,82.75862068965517,79
198,SingletonIterator,org.apache.commons.collections4.iterators,9,0,0,0,0,9,100.0,0,75,0,14,0,22,0,13,0,6,100.0,100.0,13
199,SingletonListIterator,org.apache.commons.collections4.iterators,20,0,0,0,0,20,100.0,0,127,2,26,0,32,2,23,0,11,100.0,92.85714285714286,25
200,SingletonMap,org.apache.commons.collections4.map,0,0,66,0,0,66,0.0,144,310,25,24,37,81,28,47,7,43,68.64406779661016,48.97959183673469,75
201,SkippingIterator,org.apache.commons.collections4.iterators,11,0,0,0,0,11,100.0,0,60,0,8,0,17,0,8,0,4,100.0,100.0,8
202,SortedProperties,org.apache.commons.collections4.properties,2,0,0,0,0,2,100.0,0,35,0,2,0,8,0,3,0,2,100.0,100.0,3
203,SplitMapUtils,org.apache.commons.collections4,23,0,6,10,0,39,58.97435897435898,46,193,10,14,10,45,14,31,4,29,81.81818181818183,58.333333333333336,45
204,StaticBucketMap,org.apache.commons.collections4.map,0,0,157,0,0,157,0.0,42,1005,15,109,14,209,16,96,3,47,93.72197309417041,87.90322580645162,112
205,StringKeyAnalyzer,org.apache.commons.collections4.trie.analyzer,0,0,56,0,0,56,0.0,15,174,10,24,4,36,11,14,1,7,90.0,70.58823529411765,25
206,StringValueTransformer,org.apache.commons.collections4.functors,3,0,0,0,0,3,100.0,0,12,0,0,0,4,0,4,0,4,100.0,,4
207,SwitchClosure,org.apache.commons.collections4.functors,17,0,3,4,0,24,70.83333333333334,13,154,2,22,3,35,5,15,3,5,92.10526315789474,91.66666666666666,20
208,SwitchTransformer,org.apache.commons.collections4.functors,19,0,3,4,0,26,73.07692307692307,13,159,2,24,3,36,5,16,3,5,92.3076923076923,92.3076923076923,21
209,SynchronizedBag,org.apache.commons.collections4.bag,1,0,9,0,0,10,10.0,5,106,0,2,2,22,1,11,1,10,91.66666666666666,100.0,12
210,SynchronizedCollection,org.apache.commons.collections4.collection,22,0,2,1,0,25,88.0,10,230,3,9,2,49,3,23,0,20,96.07843137254902,75.0,26
211,SynchronizedMultiSet,org.apache.commons.collections4.multiset,3,0,9,0,0,12,25.0,36,102,0,2,7,21,3,11,3,10,75.0,100.0,14
